timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534797137714,833443,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797138714,16288,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797138714,899769,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797139715,14819,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797139715,1057348,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797140716,8938,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797140716,764609,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797141717,4491,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797141717,665807,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797142717,9491,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797142717,1026949,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797143718,8458,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797143718,503512,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797144719,10928,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797144719,814762,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797145720,10190,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797145720,1069834,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797146720,6518,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797146721,629277,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797147721,6612,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797147722,609911,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797148722,12500,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
